Average of Win_%,Column Labels,,,,Row Labels,Min of Age,Average of Age,Max of Age
Row Labels,Mens,Womens,Grand Total,,Mens,24,32,42
Jiu-Jitsu,93.30%,,93.30%,,Womens,23,32,41
Sambo,91.60%,,91.60%,,Grand Total,23,32,42
Muay Thai,89.73%,85.52%,86.92%,,,,,
Taekwondo,83.30%,69.20%,73.90%,,,,,
Brazilian Jiu-Jitsu,80.98%,74.45%,79.73%,,,,,
Wrestling,80.61%,68.40%,79.67%,,,,,
Striker,80.22%,71.86%,77.91%,,,,,
Mixed Martial Artist,79.73%,78.33%,79.38%,,,,,
Capoeira and Taekwondo,78.60%,,78.60%,,,,,
Boxing,78.60%,77.42%,77.62%,,,,,
Kickboxing,75.00%,,75.00%,,,,,
Wushu Sanda,74.10%,,74.10%,,,,,
"Wrestling, Brazilian Jiu-Jitsu",67.30%,,67.30%,,,,,
Jeet Kune Do,59.40%,,59.40%,,,,,
Karate,,84.60%,84.60%,,,,,
Judo,,90.90%,90.90%,,,,,
Grand Total,80.47%,77.14%,79.56%,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Count of Gender,Column Labels,,,,,,,
Row Labels,Mens,Womens,Grand Total,,,,,
Mixed Martial Artist,24.24%,7.88%,32.12%,,,,,
Brazilian Jiu-Jitsu,20.61%,4.85%,25.45%,,,,,
Striker,12.73%,4.85%,17.58%,,,,,
Wrestling,7.27%,0.61%,7.88%,,,,,
Muay Thai,1.82%,3.64%,5.45%,,,,,
Boxing,0.61%,3.03%,3.64%,,,,,
Taekwondo,0.61%,1.21%,1.82%,,,,,
Sambo,1.21%,0.00%,1.21%,,,,,
Capoeira and Taekwondo,0.61%,0.00%,0.61%,,,,,
"Wrestling, Brazilian Jiu-Jitsu",0.61%,0.00%,0.61%,,,,,
Judo,0.00%,0.61%,0.61%,,,,,
Jeet Kune Do,0.61%,0.00%,0.61%,,,,,
Wushu Sanda,0.61%,0.00%,0.61%,,,,,
Karate,0.00%,0.61%,0.61%,,,,,
Jiu-Jitsu,0.61%,0.00%,0.61%,,,,,
Kickboxing,0.61%,0.00%,0.61%,,,,,
Grand Total,72.73%,27.27%,100.00%,,,,,
